x,y,z,score,score_d
86030.2,10371.9,0,148,5574750
86080.4,10458.3,0,148,5559950
86130.7,10544.7,0,148,5545150
86180.9,10631.2,0,148,5530360
86231.2,10717.6,0,148,5515560
86281.4,10804,0,148,5500760
86331.7,10890.5,0,148,5485970
86381.9,10976.9,0,148,5471170
86432.2,11063.3,0,148,5456370
86482.4,11149.8,0,148,5441580
86532.7,11236.2,0,148,5426780
86582.9,11322.6,0,148,5411980
86633.2,11409,0,148,5397180
86683.5,11495.5,0,148,5382390
86733.7,11581.9,0,148,5367590
86784,11668.3,0,148,5352790
86834.2,11754.8,0,148,5338000
86884.5,11841.2,0,148,5323200
86934.7,11927.6,0,148,5308400
86985,12014.1,0,148,5293610
87035.2,12100.5,0,148,5278810
87085.5,12186.9,0,148,5264010
87135.7,12273.4,0,148,5249220
87186,12359.8,0,148,5234420
87236.2,12446.2,0,148,5219620
87286.5,12532.7,0,148,5204830
87336.7,12619.1,0,148,5190030
87387,12705.5,0,148,5175230
87437.2,12792,0,148,5160440
87487.5,12878.4,0,148,5145640
87537.7,12964.8,0,148,5130840
87588,13051.3,0,148,5116050
87638.2,13137.7,0,148,5101250
87688.5,13224.1,0,148,5086450
87738.7,13310.6,0,148,5071650
87789,13397,0,148,5056860
87839.2,13483.4,0,148,5042060
87889.5,13569.9,0,148,5027260
87939.7,13656.3,0,148,5012470
87990,13742.7,0,148,4997670
88040.2,13829.2,0,148,4982870
88090.5,13915.6,0,148,4968080
88140.7,14002,0,148,4953280
88191,14088.4,0,148,4938480
88241.2,14174.9,0,148,4923690
88291.5,14261.3,0,148,4908890
88341.8,14347.7,0,148,4894090
88392,14434.2,0,148,4879300
88442.3,14520.6,0,148,4864500
88492.5,14607,0,148,4849700
88542.8,14693.5,0,148,4834910
88593,14779.9,0,148,4820110
88643.3,14866.3,0,148,4805310
88693.5,14952.8,0,148,4790510
88743.8,15039.2,0,148,4775720
88794,15125.6,0,148,4760920
88844.3,15212.1,0,148,4746120
88894.5,15298.5,0,148,4731330
88944.8,15384.9,0,148,4716530
88995,15471.4,0,148,4701730
89045.3,15557.8,0,148,4686940
89095.5,15644.2,0,148,4672140
89145.8,15730.7,0,148,4657340
89196,15817.1,0,148,4642550
89246.3,15903.5,0,148,4627750
